City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Makakilo City,US,77.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
133,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
135,Teknaf,BD,83.03,few clouds,20.8624,92.3058,Forestry Guesthouse
139,Ambilobe,MG,71.58,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
140,Butaritari,KI,81.95,few clouds,3.0707,172.7902,Isles Sunset Lodge
141,Port Augusta,AU,87.76,clear sky,-32.5,137.7667,Majestic Oasis Apartments
142,Angoche,MZ,78.26,light rain,-16.2325,39.9086,Guest House HESADA
143,Kaeo,NZ,73.29,overcast clouds,-35.1,173.7833,Bushido Lodge
144,Hithadhoo,MV,82.06,clear sky,-0.6,73.0833,Scoop Guest House
147,Sharjah,AE,78.78,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
150,Victoria,HK,77.05,clear sky,22.2855,114.1577,Mini Hotel Central
152,Viedma,AR,60.22,clear sky,-40.8135,-62.9967,Hotel Cristal
154,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
155,Vila Do Maio,CV,72.39,clear sky,15.1333,-23.2167,Hotel Marilu
156,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
157,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
159,Belmonte,BR,77.16,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
162,Yuanlin,CN,70.86,overcast clouds,30.4151,112.8859,Shell Qianjiang City Qianjiang bus station Hotel
164,Port Elizabeth,ZA,68.29,clear sky,-33.918,25.5701,39 On Nile Guest House
168,Alizai,PK,65.77,overcast clouds,33.5383,70.3462,Alizai Rest House
169,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
170,Anastacio,BR,73.06,light rain,-20.4836,-55.8069,HOTEL ARARAS
