City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Emerald,AU,-23.5333,148.1667,89.74,45,100,10.36,overcast clouds
206,Kuybysheve,UA,47.358,36.6491,18.14,78,100,13.85,overcast clouds
207,Redmond,US,47.674,-122.1215,50.77,69,100,1.99,overcast clouds
208,Norman Wells,CA,65.282,-126.8329,-7.56,64,100,12.66,light snow
209,Georgetown,MY,5.4112,100.3354,87.73,83,20,8.05,few clouds
210,Marawi,PH,7.9986,124.2928,83.7,60,91,1.63,overcast clouds
211,Torbay,CA,47.6666,-52.7314,30.58,67,40,16.11,scattered clouds
212,Kambove,CD,-10.8764,26.5969,61.34,99,100,3.98,light rain
213,Maine-Soroa,NE,13.2114,12.0241,69.94,21,6,9.73,clear sky
214,Sosnovo-Ozerskoye,RU,52.5249,111.5418,14.07,72,95,3.74,overcast clouds
215,Northam,GB,51.0333,-4.2167,44.38,95,97,11.83,overcast clouds
216,Paamiut,GL,61.994,-49.6678,7.88,87,100,25.3,overcast clouds
217,Mana,GF,5.6592,-53.7767,75.83,90,100,8.84,overcast clouds
218,Kurilsk,RU,45.2333,147.8833,33.24,99,100,1.88,snow
219,Oranjemund,NA,-28.55,16.4333,66.7,89,19,4.85,few clouds
220,Ponta Do Sol,PT,32.6667,-17.1,63.05,70,79,1.66,broken clouds
221,Belaya Gora,RU,68.5333,146.4167,-0.76,88,18,1.39,few clouds
222,Lebu,CL,-37.6167,-73.65,58.08,92,0,18.54,clear sky
223,Lata,PT,40.1629,-8.3327,45.07,93,97,3.44,overcast clouds
224,Saldanha,ZA,-33.0117,17.9442,68.05,87,0,10.04,clear sky
225,Dikson,RU,73.5069,80.5464,-5.58,89,100,23.87,overcast clouds
226,Gilbues,BR,-9.8317,-45.3439,74.07,82,98,2.3,overcast clouds
227,Salmas,IR,38.1973,44.7653,29.91,47,0,9.28,clear sky
228,Egvekinot,RU,66.3167,-179.1667,18.91,63,0,8.52,clear sky
229,Tiksi,RU,71.6872,128.8694,-10.44,89,100,9.4,overcast clouds
230,Qasigiannguit,GL,68.8193,-51.1922,-8.46,96,100,4.5,overcast clouds
231,Vangaindrano,MG,-23.35,47.6,73.36,91,52,0.83,light rain
